symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
GE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GE 2004-11-19: native profile missing direction/score/confidence
GEHC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GEHC 2024-03-15: native profile missing direction/score/confidence
GEN,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GEN 2024-01-19: native profile missing direction/score/confidence
GEV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GEV 2025-06-13: native profile missing direction/score/confidence
GILD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GILD 2004-11-19: native profile missing direction/score/confidence
GIS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GIS 2004-11-19: native profile missing direction/score/confidence
GL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GL 2020-10-16: native profile missing direction/score/confidence
GLD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GLD 2006-01-27: native profile missing direction/score/confidence
GLW,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GLW 2004-11-19: native profile missing direction/score/confidence
GM,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GM 2012-01-27: native profile missing direction/score/confidence
GNRC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GNRC 2011-04-21: native profile missing direction/score/confidence
GOOG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GOOG 2005-10-28: native profile missing direction/score/confidence
GOOGL,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GOOGL 2015-06-12: native profile missing direction/score/confidence
GPC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GPC 2004-11-19: native profile missing direction/score/confidence
